time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation]
102.52144398792562 31 9.659937544712248 20.12020073864656 13.0 9.0 9.0 9.0 3.7 0.28 0.46 0.084 0.68 8.0 3.6 3.4 3.0 1.8 5.00 0.968 1.50 1.00 1.22 132 20.5 1.40e+03 0.497 37.4 94.0 8.28 378 0.550 19.4 637 134 5.32e+04 12.0 231 298 31.8 5.63e+03 1.06 75.0
110.33278684400472 52 7.953281880143624 21.71486317218447 24.0 9.0 9.0 9.0 4.3 0.21 0.37 0.071 0.61 9.0 4.9 4.7 5.0 2.2 6.00 0.981 1.59 1.00 1.26 121 15.3 909 1.13 30.2 48.0 5.01 97.8 0.766 9.89 795 102 3.53e+04 17.1 188 298 20.9 3.29e+03 1.62 57.3
116.4657452050759 49 8.328947633441652 18.039202375217105 24.0 9.0 9.0 9.0 5.1 0.31 0.61 0.091 0.78 10 5.3 6.5 5.0 2.6 8.00 0.980 2.23 1.00 1.49 129 8.89 632 0.0653 25.1 128 5.52 383 0.0904 19.6 436 59.4 1.69e+04 0.378 130 298 18.6 3.42e+03 0.230 58.5
114.0031159622309 45 10.029674765060877 25.709713486488084 21.0 10 10 10 27 0.81 16 0.065 4.0 10 4.8 6.5 5.0 2.6 7.00 0.978 1.79 1.00 1.34 135 31.0 1.41e+03 11.9 37.5 55.9 5.08 90.4 2.38 9.51 1.40e+03 198 1.31e+05 52.9 362 298 22.9 3.51e+03 2.87 59.3
100.37303940829801 30 7.166088655508877 20.63421420620261 12.0 9.0 9.0 9.0 2.4 0.21 0.19 0.087 0.44 8.0 3.7 3.5 3.5 1.9 6.00 0.967 1.76 1.00 1.33 115 23.3 1.36e+03 0.712 36.8 95.4 8.81 432 1.68 20.8 698 153 5.70e+04 31.4 239 298 32.8 5.88e+03 2.25 76.7
102.01099439565132 32 10.679352979159653 22.84498783792943 16.0 9.0 9.0 9.0 4.1 0.25 0.53 0.083 0.73 7.0 3.6 2.8 4.0 1.7 4.00 0.969 1.52 0.500 1.23 130 28.1 1.57e+03 5.49 39.7 59.6 7.69 183 2.08 13.5 900 187 8.71e+04 54.1 295 298 33.0 5.10e+03 3.91 71.4
104.62790027332227 37 10.596370762857386 20.799724380555084 19.0 8.0 8.0 8.0 3.4 0.20 0.32 0.062 0.56 11 5.2 7.8 5.0 2.8 5.00 0.973 1.75 0.00 1.32 103 16.9 791 1.22 28.1 53.0 6.90 174 0.589 13.2 626 98.0 2.29e+04 7.82 151 298 24.8 3.34e+03 0.688 57.8
116.34840956682186 41 10.559854878808883 22.324933550658706 22.0 8.0 8.0 8.0 3.8 0.27 0.42 0.075 0.65 8.0 4.3 3.4 4.0 1.8 4.00 0.976 1.57 0.00 1.25 135 22.6 1.43e+03 1.43 37.8 79.5 5.96 185 1.91 13.6 925 152 6.24e+04 24.8 250 298 24.1 3.68e+03 2.41 60.7
102.12539312629889 31 11.235245009492232 24.5978280236964 15.0 9.0 9.0 9.0 2.8 0.20 0.27 0.058 0.52 8.0 3.8 3.4 4.0 1.8 4.00 0.968 1.37 1.00 1.17 130 34.8 1.75e+03 11.7 41.8 55.9 7.45 214 2.43 14.6 1.08e+03 224 1.34e+05 74.6 366 298 31.3 5.08e+03 4.52 71.3
106.43708987495728 44 8.689879348810356 16.906687367801304 22.0 10 10 10 3.7 0.26 0.36 0.085 0.60 11 5.3 5.9 5.0 2.4 5.00 0.977 1.65 0.500 1.28 123 12.2 872 0.0669 29.5 74.6 5.78 205 0.483 14.3 535 84.4 2.71e+04 6.01 165 298 22.5 3.63e+03 0.569 60.2
