#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
30.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 3.24e+12 2.35e+11 7.49e+23 77.5 8.65e+11 180 51.0 4.76e+03 15.2 69.0
31.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 3.24e+12 1.94e+11 6.17e+23 37.1 7.85e+11 373 91.0 1.46e+04 33.3 121
32.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 3.24e+12 1.94e+11 6.17e+23 37.1 7.85e+11 833 132 4.70e+04 33.3 217
33.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 3.24e+12 1.94e+11 6.17e+23 37.1 7.85e+11 872 172 7.94e+04 33.3 282
34.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 3.24e+12 1.94e+11 6.17e+23 37.1 7.85e+11 873 213 1.08e+05 33.3 329
35.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 3.24e+12 1.94e+11 6.17e+23 37.1 7.85e+11 873 235 1.11e+05 33.3 333
36.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 3.24e+12 1.94e+11 6.17e+23 37.1 7.85e+11 873 251 1.07e+05 107 326
37.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 1.76e+46 1.50e+45 2.08e+91 67.4 4.57e+45 873 251 1.07e+05 107 326
38.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 1.76e+46 1.50e+45 2.08e+91 67.4 4.57e+45 873 251 1.07e+05 107 326
39.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 1.76e+46 1.50e+45 2.08e+91 67.4 4.57e+45 873 251 1.07e+05 107 326
