#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:29+0000 #
#####################################################################
#
# seed = 249.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
26.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 31.9 6.73 84.4 2.97 9.18 0.306 0.145 0.00417 0.104 0.0645
27.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 31.9 6.73 84.4 2.97 9.18 0.306 0.145 0.00417 0.104 0.0645
28.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 31.9 6.73 84.4 2.97 9.18 0.306 0.145 0.00417 0.104 0.0645
29.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 31.9 6.73 84.4 2.97 9.18 0.306 0.145 0.00417 0.104 0.0645
30.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 31.9 6.73 84.4 2.97 9.18 0.306 0.145 0.00417 0.104 0.0645
31.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 31.9 5.38 74.0 1.55 8.60 2.32 0.287 0.320 0.108 0.565
32.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 31.9 5.38 74.0 1.55 8.60 2.32 0.371 0.427 0.108 0.653
33.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 31.9 5.38 74.0 1.55 8.60 2.32 0.413 0.434 0.108 0.659
34.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 31.9 5.38 74.0 1.55 8.60 2.32 0.434 0.430 0.108 0.656
35.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 31.9 5.38 74.0 1.55 8.60 2.32 0.444 0.426 0.108 0.653
36.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 31.9 6.00 88.9 1.55 9.43 2.32 0.452 0.422 0.137 0.650
37.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 8.78e+03 664 5.07e+06 15.5 2.25e+03 2.32 0.452 0.422 0.137 0.650
38.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 8.78e+03 664 5.07e+06 15.5 2.25e+03 2.32 0.452 0.422 0.137 0.650
39.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 8.78e+03 664 5.07e+06 15.5 2.25e+03 2.32 0.452 0.422 0.137 0.650
40.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 8.78e+03 664 5.07e+06 15.5 2.25e+03 2.32 0.452 0.422 0.137 0.650
41.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 8.78e+03 664 5.07e+06 15.5 2.25e+03 2.32 0.452 0.422 0.137 0.650
42.0 15 7.993100559583114 9.31755231350167 9.0 5.0 5.0 5.0 2.8 0.31 0.51 0.089 0.71 6.0 3.1 2.8 3.0 1.7 3.00 0.933 1.78 0.00 1.33 2.32 0.267 0.325 0.100 0.570 8.78e+03 664 5.07e+06 15.5 2.25e+03 2.32 0.452 0.422 0.137 0.650
43.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 553 4.24e+06 9.56 2.06e+03 3.31 0.796 1.04 0.213 1.02
44.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 553 4.24e+06 9.56 2.06e+03 7.55 1.09 3.50 0.213 1.87
45.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 553 4.24e+06 9.56 2.06e+03 7.55 1.26 4.23 0.213 2.06
46.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 553 4.24e+06 9.56 2.06e+03 7.55 1.35 4.28 0.213 2.07
47.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 553 4.24e+06 9.56 2.06e+03 7.55 1.40 4.24 0.213 2.06
48.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 553 4.24e+06 9.56 2.06e+03 7.55 1.42 4.20 0.213 2.05
49.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 8.78e+03 554 4.24e+06 9.56 2.06e+03 7.55 1.43 4.16 0.355 2.04
50.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
51.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
52.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
53.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
54.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
55.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
56.0 18 9.684311866615197 11.22968428243223 11.0 6.0 6.0 6.0 3.3 0.32 0.61 0.082 0.78 6.0 3.2 2.4 3.0 1.6 3.00 0.944 1.82 0.00 1.35 3.31 0.642 1.08 0.104 1.04 9.64e+04 1.17e+04 7.89e+08 21.1 2.81e+04 7.55 1.43 4.16 0.355 2.04
57.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 19.3 2.26 18.8 0.473 4.33
