#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T11:24+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
46.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 15.5 3.81 28.6 1.35 5.35 0.164 0.103 0.000931 0.100 0.0305
47.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 16.7 4.17 36.8 1.35 6.07 0.164 0.103 0.000931 0.100 0.0305
48.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 16.7 4.82 27.1 2.11 5.20 0.164 0.103 0.000931 0.100 0.0305
49.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 16.7 4.82 27.1 2.11 5.20 0.164 0.103 0.000931 0.100 0.0305
50.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 16.7 4.82 27.1 2.11 5.20 0.164 0.103 0.000931 0.100 0.0305
51.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 16.7 4.82 27.1 2.11 5.20 0.164 0.103 0.000931 0.100 0.0305
52.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 16.7 4.82 27.1 2.11 5.20 0.164 0.103 0.000931 0.100 0.0305
53.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 16.7 4.52 26.7 2.09 5.17 0.164 0.102 0.000869 0.100 0.0295
54.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 16.7 4.52 26.7 2.09 5.17 0.164 0.0993 0.00104 0.100 0.0323
55.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 16.7 4.52 26.7 2.09 5.17 0.164 0.0978 0.00108 0.100 0.0328
