#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T15:28+0000 #
#####################################################################
#
# maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 3.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
51.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
52.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
53.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
54.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
55.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
56.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
57.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.81e+03 479 3.67e+05 244 606
58.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.81e+03 479 3.67e+05 244 606
59.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.81e+03 480 3.67e+05 244 606
60.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.81e+03 481 3.69e+05 244 607
61.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.81e+03 482 3.71e+05 244 609
62.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.81e+03 482 3.73e+05 244 611
63.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.83e+03 483 3.75e+05 244 612
64.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 3.36e+131 1.46e+130 4.91e+261 0.0732 7.01e+130 1.83e+03 484 3.75e+05 244 613
65.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 2.59e+70 1.13e+69 2.92e+139 0.0405 5.41e+69 1.83e+03 484 3.75e+05 244 613
66.0 23 -0.8236110180890028 17.976008669342708 8.0 8.0 0.0 8.0 0.0 6.0 0.43 1.6 0.099 1.3 6.0 3.5 2.0 4.0 1.4 3.00 0.957 1.95 0.00 1.40 470 135 2.01e+04 96.5 142 2.59e+70 1.13e+69 2.92e+139 0.0405 5.41e+69 1.83e+03 484 3.75e+05 244 613
