#####################################################################
# Alchemist log file - simulation started at: 2024-12-05T09:41+0000 #
#####################################################################
#
# seed = 6.0
#
# The columns have the following meaning: 
# time children-count[min] children-count[max] children-count[mean] local-success[min] local-success[max] local-success[mean] resource[min] resource[max] resource[mean] success[min] success[max] success[mean] local-resource[min] local-resource[max] local-resource[mean] 
76.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
77.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
78.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
79.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
80.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
81.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
82.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
83.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
84.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
85.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
86.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
87.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
88.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
89.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
90.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
91.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
92.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
93.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
