#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T09:23+0000 #
#####################################################################
#
# maxChildren = 3.0, maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 0.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
27.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 1.33e+26 2.05e+25 1.94e+51 196 4.41e+25 786 260 8.34e+04 209 289
28.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 1.33e+26 2.05e+25 1.94e+51 196 4.41e+25 786 260 8.34e+04 209 289
29.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 1.33e+26 2.05e+25 1.94e+51 196 4.41e+25 786 260 8.34e+04 209 289
30.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 1.33e+26 2.05e+25 1.94e+51 196 4.41e+25 786 260 8.34e+04 209 289
31.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 1.33e+26 1.69e+25 1.64e+51 51.9 4.05e+25 786 287 7.14e+04 227 267
32.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 1.33e+26 1.69e+25 1.64e+51 51.9 4.05e+25 1.23e+03 346 1.23e+05 227 351
33.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 1.33e+26 1.69e+25 1.64e+51 51.9 4.05e+25 1.67e+03 404 2.22e+05 227 471
34.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 1.33e+26 1.69e+25 1.64e+51 51.9 4.05e+25 1.77e+03 463 3.27e+05 227 572
35.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 1.33e+26 1.69e+25 1.64e+51 51.9 4.05e+25 1.79e+03 522 4.26e+05 227 653
36.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 1.33e+26 1.69e+25 1.64e+51 35.9 4.05e+25 1.79e+03 569 4.28e+05 380 655
37.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 4.23e+74 2.72e+73 1.05e+148 67.4 1.02e+74 1.79e+03 569 4.28e+05 380 655
38.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 4.23e+74 2.72e+73 1.05e+148 67.4 1.02e+74 1.79e+03 569 4.28e+05 380 655
39.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 4.23e+74 2.72e+73 1.05e+148 67.4 1.02e+74 1.79e+03 569 4.28e+05 380 655
40.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 4.23e+74 2.72e+73 1.05e+148 67.4 1.02e+74 1.79e+03 569 4.28e+05 380 655
41.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 4.23e+74 2.72e+73 1.05e+148 67.4 1.02e+74 1.79e+03 569 4.28e+05 380 655
42.0 17 -0.8069974846959841 13.634068139032927 6.0 6.0 0.0 6.0 0.0 1.4 0.26 0.12 0.11 0.35 7.0 3.5 2.9 3.0 1.7 3.00 0.941 1.93 0.00 1.39 449 124 2.54e+04 48.5 160 4.23e+74 2.72e+73 1.05e+148 67.4 1.02e+74 1.79e+03 569 4.28e+05 380 655
43.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 23.9 9.44e+73 1.79e+03 545 3.64e+05 397 603
44.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 23.9 9.44e+73 1.79e+03 585 3.87e+05 397 622
45.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 23.9 9.44e+73 2.02e+03 625 4.72e+05 397 687
46.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 23.9 9.44e+73 2.46e+03 664 5.90e+05 397 768
47.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 23.9 9.44e+73 2.56e+03 704 7.14e+05 397 845
48.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 23.9 9.44e+73 2.58e+03 743 8.35e+05 397 914
49.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 4.23e+74 2.31e+73 8.92e+147 20.7 9.44e+73 2.58e+03 775 8.49e+05 397 921
50.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
51.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
52.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
53.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
54.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
55.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
56.0 20 -0.939506287304301 15.539322936182227 7.0 7.0 0.0 7.0 0.0 1.7 0.27 0.15 0.12 0.39 7.0 3.7 2.7 4.0 1.7 3.00 0.950 1.94 0.00 1.39 449 167 3.27e+04 64.9 181 3.81e+136 2.51e+135 7.70e+271 25.9 8.78e+135 2.58e+03 775 8.49e+05 397 921
57.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.58e+03 700 7.72e+05 380 879
58.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.58e+03 708 7.69e+05 380 877
