#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 239.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
54.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
55.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
56.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
57.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
58.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
59.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
60.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
61.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
62.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
63.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
